Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,145216414,1860.2438502158914,5679136,72.75057638139779,849130,3079390,39.447443660992164,86548,1.1086927456319453,13120,
United States of America,Americas,31593420,9544.76,416482,125.82,63206,564941,170.68,4994,1.51,850,Community transmission
India,South-East Asia,16610481,1203.65,2083872,151,346786,189544,13.74,13895,1.01,2624,Clusters of cases
Brazil,Americas,14167973,6665.42,421292,198.2,45178,383502,180.42,18058,8.5,2027,Community transmission
France,Europe,5357687,8237.61,213392,328.1,32192,101844,156.59,2100,3.23,331,Community transmission
Russian Federation,Europe,4753789,3257.48,60320,41.33,8828,107900,73.94,2707,1.85,399,Clusters of cases
Turkey,Europe,4550820,5395.86,400781,475.2,49438,37672,44.67,2352,2.79,343,Community transmission
The United Kingdom,Europe,4401113,6483.09,17377,25.6,2678,127385,187.65,160,0.24,40,Community transmission
Italy,Europe,3935703,6598.93,93624,156.98,14758,118699,199.02,2333,3.91,342,Clusters of cases
Spain,Europe,3456886,7303.39,42154,89.06,0,77496,163.73,274,0.58,0,Community transmission
Germany,Europe,3268645,3930.23,145568,175.03,23392,81444,97.93,1597,1.92,286,Community transmission
Argentina,Americas,2796768,6188.12,167612,370.86,27216,60620,134.13,1695,3.75,537,Community transmission
Poland,Europe,2751632,7249.12,75758,199.58,9510,65222,171.83,3397,8.95,515,Community transmission
Colombia,Americas,2720619,5346.82,117900,231.71,19306,70026,137.62,2827,5.56,430,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2358809,2808.34,164676,196.06,22904,68746,81.85,2738,3.26,380,Community transmission
Mexico,Americas,2319519,1799.01,24084,18.68,3708,214095,166.05,2882,2.24,498,Community transmission
Ukraine,Europe,2017341,4612.78,81113,185.47,12711,42092,96.25,2556,5.84,392,Community transmission
Peru,Americas,1734606,5260.87,53543,162.39,7800,58604,177.74,2455,7.45,343,Community transmission
Indonesia,South-East Asia,1632248,596.75,37526,13.72,5436,44346,16.21,1150,0.42,174,Community transmission
Czechia,Europe,1618068,15130.7,17727,165.77,2607,28920,270.43,524,4.9,57,Community transmission
South Africa,Africa,1572985,2652.2,8630,14.55,1637,54066,91.16,403,0.68,71,Community transmission
Netherlands,Europe,1445064,8301.35,58215,334.42,9292,17016,97.75,144,0.83,14,Community transmission
Chile,Americas,1155902,6046.71,46591,243.73,7582,25641,134.13,718,3.76,109,Community transmission
Canada,Americas,1155834,3062.45,59118,156.64,8371,23822,63.12,322,0.85,59,Community transmission
Romania,Europe,1042521,5393.6,18956,98.07,2523,27113,140.27,1176,6.08,170,Community transmission
Iraq,Eastern Mediterranean,1018321,2531.72,53886,133.97,8017,15174,37.73,259,0.64,46,Community transmission
Philippines,Western Pacific,979740,894.08,64789,59.12,8691,16529,15.08,791,0.72,159,Community transmission
Belgium,Europe,968107,8401.93,19110,165.85,0,23954,207.89,227,1.97,0,Community transmission
Sweden,Europe,938343,9085.79,38195,369.83,6251,13923,134.81,39,0.38,0,Community transmission
Israel,Europe,837892,9680.41,1102,12.73,22,6346,73.32,21,0.24,0,Community transmission
Portugal,Europe,833397,8094.45,3486,33.86,506,16957,164.7,20,0.19,1,Clusters of cases
Pakistan,Eastern Mediterranean,784108,354.97,38926,17.62,5870,16842,7.62,860,0.39,144,Community transmission
Hungary,Europe,767190,7852.89,20388,208.69,2796,26420,270.43,1441,14.75,212,Community transmission
Bangladesh,South-East Asia,739703,449.15,27924,16.96,3629,10869,6.6,687,0.42,88,Community transmission
Jordan,Eastern Mediterranean,699164,6852.44,17294,169.5,1677,8514,83.44,397,3.89,40,Community transmission
Serbia,Europe,675904,9757.94,18188,262.58,2384,6164,88.99,244,3.52,34,Community transmission
Switzerland,Europe,643562,7436.05,11177,129.14,3,9899,114.38,35,0.4,0,Community transmission
Austria,Europe,601188,6754.11,15678,176.14,2407,9806,110.17,213,2.39,32,Community transmission
Japan,Western Pacific,556999,440.4,31781,25.13,5101,9854,7.79,270,0.21,54,Clusters of cases
Lebanon,Eastern Mediterranean,518104,7590.77,11296,165.5,1504,7090,103.88,236,3.46,33,Community transmission
Morocco,Eastern Mediterranean,508530,1377.74,3683,9.98,592,8983,24.34,49,0.13,7,Community transmission
United Arab Emirates,Eastern Mediterranean,506845,5124.61,13579,137.29,1973,1567,15.84,20,0.2,2,Clusters of cases
Saudi Arabia,Eastern Mediterranean,410191,1178.24,7085,20.35,1098,6878,19.76,77,0.22,9,Community transmission
Bulgaria,Europe,396302,5700.97,11415,164.21,1708,15826,227.66,726,10.44,105,Clusters of cases
Malaysia,Western Pacific,387535,1197.35,17007,52.55,2847,1415,4.37,50,0.15,8,Community transmission
Slovakia,Europe,379476,6952.82,4140,75.85,841,11458,209.94,415,7.6,53,Clusters of cases
Ecuador,Americas,371306,2104.54,15342,86.96,5913,18062,102.37,534,3.03,97,Community transmission
Panama,Americas,361992,8389.61,2162,50.11,314,6198,143.65,15,0.35,2,Community transmission
Kazakhstan,Europe,352988,1879.92,14143,75.32,0,4157,22.14,194,1.03,0,Clusters of cases
Belarus,Europe,350221,3706.31,8682,91.88,1735,2473,26.17,70,0.74,10,Community transmission
Greece,Europe,329134,3070.69,18101,168.88,2739,9864,92.03,534,4.98,76,Community transmission
Croatia,Europe,318837,7856.68,12612,310.78,0,6784,167.17,261,6.43,0,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,317961,6232.8,11000,215.63,1440,3406,66.77,183,3.59,23,Community transmission
Azerbaijan,Europe,309789,3055.37,13415,132.31,1809,4307,42.48,230,2.27,33,Clusters of cases
Georgia,Europe,302785,7590.17,8245,206.68,1250,4007,100.45,82,2.06,15,Community transmission
Tunisia,Eastern Mediterranean,296343,2507.42,14566,123.25,2205,10170,86.05,531,4.49,107,Community transmission
Nepal,South-East Asia,294601,1011.1,11711,40.19,2449,3122,10.71,52,0.18,5,Clusters of cases
Bolivia (Plurinational State of),Americas,294391,2521.98,8277,70.91,1330,12758,109.29,155,1.33,27,Community transmission
Kuwait,Eastern Mediterranean,264198,6186.48,9726,227.74,1432,1502,35.17,66,1.55,9,Community transmission
Dominican Republic,Americas,263470,2428.76,3337,30.76,535,3448,31.78,38,0.35,7,Community transmission
Paraguay,Americas,260382,3650.62,15854,222.28,2676,5633,78.98,523,7.33,72,Community transmission
Ethiopia,Africa,249292,216.84,12738,11.08,1303,3511,3.05,224,0.19,15,Community transmission
Republic of Moldova,Europe,248518,6160.64,3652,90.53,509,5691,141.08,170,4.21,23,Community transmission
Denmark,Europe,246463,4232.75,5456,93.7,702,2472,42.45,20,0.34,5,Community transmission
Ireland,Europe,245743,4950.06,2924,58.9,433,4867,98.04,36,0.73,1,Community transmission
Lithuania,Europe,240522,8608.24,7693,275.33,1259,3841,137.47,90,3.22,8,Community transmission
Slovenia,Europe,235783,11249.93,4886,233.13,900,4511,215.23,35,1.67,1,Clusters of cases
Costa Rica,Americas,235274,4618.54,7741,151.96,1776,3125,61.35,60,1.18,10,Community transmission
Egypt,Eastern Mediterranean,220658,215.62,6019,5.88,884,12959,12.66,306,0.3,45,Community transmission
Guatemala,Americas,219789,1226.8,9122,50.92,1644,7374,41.16,214,1.19,29,Community transmission
Armenia,Europe,212878,7183.98,4905,165.53,764,4001,135.02,142,4.79,17,Community transmission
Honduras,Americas,204828,2068.01,5853,59.09,1469,5047,50.96,118,1.19,66,Community transmission
Qatar,Eastern Mediterranean,200778,6968.91,5848,202.98,798,413,14.34,46,1.6,6,Community transmission
Bosnia and Herzegovina,Europe,194733,5935.51,5739,174.93,362,8203,250.03,415,12.65,39,Community transmission
Venezuela (Bolivarian Republic of),Americas,188063,661.36,8698,30.59,1318,1987,6.99,134,0.47,22,Community transmission
Oman,Eastern Mediterranean,185278,3628.19,8610,168.6,0,1942,38.03,121,2.37,0,Community transmission
Uruguay,Americas,175891,5063.46,19392,558.25,3290,2160,62.18,434,12.49,77,Community transmission
Libya,Eastern Mediterranean,174752,2543.22,3621,52.7,536,2947,42.89,65,0.95,11,Community transmission
Bahrain,Eastern Mediterranean,169254,9946.9,7165,421.08,1053,617,36.26,36,2.12,3,Community transmission
Nigeria,Africa,164633,79.86,486,0.24,45,2061,1,0,0,0,Community transmission
Kenya,Africa,155165,288.56,5946,11.06,773,2583,4.8,159,0.3,23,Community transmission
North Macedonia,Europe,149710,7185.92,3801,182.44,489,4628,222.14,240,11.52,33,Community transmission
Myanmar,South-East Asia,142687,262.25,68,0.12,13,3206,5.89,0,0,0,Clusters of cases
Albania,Europe,130270,4526.72,963,33.46,156,2367,82.25,30,1.04,3,Clusters of cases
Puerto Rico,Americas,126384,4417.7,7448,260.34,1172,2246,78.51,61,2.13,8,Community transmission
Algeria,Africa,120562,274.94,1239,2.83,199,3190,7.27,42,0.1,9,Community transmission
Estonia,Europe,120000,9029.51,2989,224.91,390,1137,85.55,55,4.14,11,Clusters of cases
Republic of Korea,Western Pacific,118243,230.63,4800,9.36,785,1812,3.53,18,0.04,1,Clusters of cases
Latvia,Europe,114244,5988.65,3901,204.49,683,2094,109.77,52,2.73,6,Community transmission
Norway,Europe,109581,2041.53,3358,62.56,444,736,13.71,28,0.52,1,Community transmission
China,Western Pacific,103441,7.03,204,0.01,22,4856,0.33,0,0,0,Clusters of cases
Kosovo[1],Europe,103437,5760.37,2825,157.32,356,2108,117.39,65,3.62,8,Community transmission
Sri Lanka,South-East Asia,99691,465.56,3505,16.37,969,634,2.96,19,0.09,0,Clusters of cases
Cuba,Americas,99208,875.88,7760,68.51,1241,569,5.02,69,0.61,10,Community transmission
Montenegro,Europe,96342,15339.57,792,126.1,0,1451,231.03,24,3.82,0,Clusters of cases
Kyrgyzstan,Europe,93603,1434.71,1964,30.1,325,1578,24.19,32,0.49,5,Clusters of cases
Ghana,Africa,91928,295.85,383,1.23,145,777,2.5,11,0.04,5,Community transmission
Zambia,Africa,91251,496.36,719,3.91,62,1245,6.77,15,0.08,5,Community transmission
Uzbekistan,Europe,88679,264.96,2341,6.99,399,642,1.92,7,0.02,1,Clusters of cases
Finland,Europe,85344,1544.61,1711,30.97,267,903,16.34,16,0.29,1,Community transmission
Mozambique,Africa,69597,222.67,530,1.7,74,806,2.58,9,0.03,1,Community transmission
El Salvador,Americas,68318,1053.28,1069,16.48,311,2093,32.27,25,0.39,4,Community transmission
Luxembourg,Europe,66007,10542.43,1261,201.4,194,790,126.18,5,0.8,0,Community transmission
Cameroon,Africa,65998,248.62,4267,16.07,0,991,3.73,72,0.27,0,Community transmission
Singapore,Western Pacific,60943,1041.7,174,2.97,39,30,0.51,0,0,0,Sporadic cases
Cyprus,Europe,60681,6833.41,6060,682.43,889,297,33.45,13,1.46,1,Clusters of cases
Afghanistan,Eastern Mediterranean,58730,150.87,1009,2.59,188,2572,6.61,33,0.08,7,Community transmission
Thailand,South-East Asia,50183,71.9,9598,13.75,2070,121,0.17,22,0.03,4,Clusters of cases
Namibia,Africa,47383,1864.81,1053,41.44,211,622,24.48,23,0.91,6,Community transmission
Botswana,Africa,45855,1949.93,1780,75.69,0,691,29.38,20,0.85,0,Community transmission
Côte d’Ivoire,Africa,45765,173.5,500,1.9,68,279,1.06,10,0.04,2,Community transmission
Jamaica,Americas,44642,1507.58,1169,39.48,140,752,25.4,39,1.32,1,Community transmission
Uganda,Africa,41575,90.89,265,0.58,46,341,0.75,3,0.01,0,Community transmission
Senegal,Africa,40022,239.02,358,2.14,47,1097,6.55,10,0.06,0,Community transmission
Zimbabwe,Africa,38045,255.97,623,4.19,27,1556,10.47,6,0.04,1,Community transmission
Madagascar,Africa,34775,125.58,3736,13.49,706,588,2.12,57,0.21,9,Community transmission
Malawi,Africa,33989,177.67,70,0.37,0,1145,5.99,9,0.05,0,Community transmission
Sudan,Eastern Mediterranean,33673,76.79,651,1.48,0,2300,5.25,92,0.21,0,Clusters of cases
Malta,Europe,30129,5855.25,269,52.28,33,412,80.07,7,1.36,1,Clusters of cases
Australia,Western Pacific,29639,116.23,155,0.61,37,910,3.57,0,0,0,Clusters of cases
Democratic Republic of the Congo,Africa,29405,32.83,546,0.61,55,752,0.84,7,0.01,0,Community transmission
Mongolia,Western Pacific,27956,852.76,8284,252.69,1264,69,2.1,32,0.98,8,Clusters of cases
Maldives,South-East Asia,27403,5069.52,1382,255.67,319,71,13.13,3,0.55,0,Clusters of cases
Angola,Africa,25279,76.91,1157,3.52,228,574,1.75,14,0.04,2,Community transmission
Rwanda,Africa,24459,188.84,647,5,197,328,2.53,6,0.05,0,Community transmission
Gabon,Africa,22433,1007.89,867,38.95,401,138,6.2,6,0.27,2,Community transmission
Syrian Arab Republic,Eastern Mediterranean,21864,124.93,1008,5.76,139,1510,8.63,87,0.5,14,Community transmission
Guinea,Africa,21803,166.02,411,3.13,58,139,1.06,1,0.01,0,Community transmission
Cabo Verde,Africa,21784,3918.08,1809,325.37,605,201,36.15,12,2.16,3,Community transmission
Mayotte,Africa,19849,7275.63,60,21.99,0,169,61.95,1,0.37,0,Community transmission
Réunion,Africa,19343,2160.48,918,102.53,0,141,15.75,6,0.67,0,Community transmission
French Polynesia,Western Pacific,18734,6669.09,38,13.53,9,141,50.19,0,0,0,Sporadic cases
French Guiana,Americas,18693,6258.5,728,243.74,148,97,32.48,2,0.67,1,Community transmission
Eswatini,Africa,18434,1588.91,20,1.72,8,671,57.84,1,0.09,0,Community transmission
Mauritania,Africa,18192,391.25,120,2.58,0,454,9.76,2,0.04,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Mali,Africa,13504,66.68,669,3.3,84,460,2.27,34,0.17,4,Community transmission
Somalia,Eastern Mediterranean,13459,84.68,622,3.91,0,689,4.34,33,0.21,0,Community transmission
Burkina Faso,Africa,13231,63.3,148,0.71,19,156,0.75,2,0.01,0,Community transmission
Andorra,Europe,13007,16834.27,295,381.8,65,124,160.49,1,1.29,1,Community transmission
Haiti,Americas,12944,113.52,59,0.52,0,251,2.2,0,0,0,Community transmission
Guadeloupe,Americas,12927,3230.75,623,155.7,0,194,48.48,5,1.25,0,Community transmission
Togo,Africa,12742,153.91,351,4.24,44,121,1.46,2,0.02,0,Community transmission
Belize,Americas,12596,3167.78,67,16.85,11,320,80.48,2,0.5,2,Community transmission
Guyana,Americas,12234,1555.4,707,89.89,102,277,35.22,14,1.78,3,Clusters of cases
Curaçao,Americas,12022,7326.33,348,212.07,39,99,60.33,19,11.58,4,Community transmission
Djibouti,Eastern Mediterranean,10738,1086.84,353,35.73,41,132,13.36,22,2.23,2,Community transmission
Lesotho,Africa,10723,500.55,14,0.65,3,316,14.75,1,0.05,0,Community transmission
Congo,Africa,10678,193.51,594,10.76,594,144,2.61,7,0.13,7,Community transmission
Papua New Guinea,Western Pacific,10602,118.5,1087,12.15,52,102,1.14,18,0.2,3,Community transmission
South Sudan,Africa,10515,93.94,101,0.9,11,114,1.02,0,0,0,Community transmission
Aruba,Americas,10469,9805.56,250,234.16,32,95,88.98,3,2.81,1,Community transmission
Bahamas,Americas,9976,2536.85,342,86.97,176,196,49.84,2,0.51,2,Clusters of cases
Suriname,Americas,9865,1681.63,407,69.38,74,191,32.56,6,1.02,2,Clusters of cases
Martinique,Americas,9758,2600.3,871,232.1,0,66,17.59,7,1.87,0,Community transmission
Trinidad and Tobago,Americas,9383,670.46,705,50.38,167,157,11.22,7,0.5,0,Community transmission
Cambodia,Western Pacific,8848,52.92,3077,18.4,0,61,0.36,22,0.13,0,Sporadic cases
Benin,Africa,7720,63.68,109,0.9,0,97,0.8,1,0.01,0,Community transmission
Guam,Western Pacific,7693,4558.14,45,26.66,2,136,80.58,0,0,0,Clusters of cases
Equatorial Guinea,Africa,7559,538.78,300,21.38,54,107,7.63,1,0.07,1,Community transmission
Iceland,Europe,6390,1754.85,104,28.56,11,29,7.96,0,0,0,Community transmission
Central African Republic,Africa,6224,128.87,496,10.27,0,85,1.76,10,0.21,0,Community transmission
Yemen,Eastern Mediterranean,6060,20.32,341,1.14,36,1166,3.91,57,0.19,8,Community transmission
Gambia,Africa,5820,240.83,100,4.14,32,173,7.16,3,0.12,2,Community transmission
Nicaragua,Americas,5450,82.27,43,0.65,0,181,2.73,1,0.02,0,Community transmission
Seychelles,Africa,5170,5256.9,405,411.81,0,26,26.44,1,1.02,0,Community transmission
Niger,Africa,5141,21.24,27,0.11,0,191,0.79,1,0,0,Community transmission
San Marino,Europe,5047,14871.24,37,109.02,0,89,262.24,3,8.84,0,Community transmission
Chad,Africa,4747,28.9,74,0.45,12,169,1.03,1,0.01,0,Community transmission
Saint Lucia,Americas,4455,2426.11,66,35.94,11,70,38.12,6,3.27,0,Community transmission
Gibraltar,Europe,4291,12736.34,1,2.97,0,94,279.01,0,0,0,Clusters of cases
Sierra Leone,Africa,4044,50.7,28,0.35,0,79,0.99,0,0,0,Community transmission
Comoros,Africa,3826,439.97,17,1.95,2,146,16.79,0,0,0,Community transmission
Barbados,Americas,3806,1324.4,53,18.44,9,44,15.31,0,0,0,Community transmission
Burundi,Africa,3805,32,328,2.76,46,6,0.05,0,0,0,Community transmission
Guinea-Bissau,Africa,3722,189.13,12,0.61,1,66,3.35,0,0,0,Community transmission
Eritrea,Africa,3605,101.65,114,3.21,8,10,0.28,0,0,0,Community transmission
Jersey,Europe,3233,2999.18,1,0.93,0,69,64.01,0,0,0,Community transmission
United States Virgin Islands,Americas,3068,2937.99,40,38.31,4,27,25.86,1,0.96,0,Community transmission
Liechtenstein,Europe,2947,7605.75,50,129.04,0,56,144.53,0,0,0,Sporadic cases
Viet Nam,Western Pacific,2832,2.91,59,0.06,8,35,0.04,0,0,0,Clusters of cases
Monaco,Europe,2426,6181.84,35,89.19,3,31,78.99,0,0,0,Sporadic cases
Turks and Caicos Islands,Americas,2375,6134.1,8,20.66,4,17,43.91,0,0,0,Clusters of cases
Sao Tome and Principe,Africa,2292,1045.82,20,9.13,4,35,15.97,0,0,0,Community transmission
Bermuda,Americas,2284,3667.72,261,419.12,23,23,36.93,6,9.63,1,Community transmission
New Zealand,Western Pacific,2245,46.56,11,0.23,2,26,0.54,0,0,0,Clusters of cases
Sint Maarten,Americas,2212,5158.34,10,23.32,0,27,62.96,0,0,0,Community transmission
Liberia,Africa,2086,41.24,15,0.3,0,85,1.68,0,0,0,Community transmission
Saint Vincent and the Grenadines,Americas,1827,1646.84,8,7.21,0,10,9.01,0,0,0,Community transmission
Saint Martin,Americas,1710,4423.29,7,18.11,0,13,33.63,0,0,0,Community transmission
Timor-Leste,South-East Asia,1657,125.68,464,35.19,0,3,0.23,1,0.08,0,Clusters of cases
Isle of Man,Europe,1584,1862.83,9,10.58,5,29,34.1,0,0,0,No cases
Bonaire,Americas,1527,7300.98,16,76.5,0,15,71.72,1,4.78,0,Community transmission
Antigua and Barbuda,Americas,1222,1247.84,9,9.19,5,31,31.66,0,0,0,Clusters of cases
Mauritius,Africa,1206,94.83,8,0.63,3,16,1.26,1,0.08,1,Clusters of cases
Bhutan,South-East Asia,1008,130.64,67,8.68,16,1,0.13,0,0,0,Sporadic cases
Saint Barthélemy,Americas,954,9650.99,26,263.02,0,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,822,1275.05,0,0,0,14,21.72,0,0,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,663,1356.8,1,2.05,0,1,2.05,0,0,0,Sporadic cases
Cayman Islands,Americas,531,807.97,8,12.17,0,2,3.04,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,449,3992.53,2,17.78,0,5,44.46,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,223,50.97,2,0.46,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,194,641.6,7,23.15,0,1,3.31,0,0,0,Clusters of cases
Dominica,Americas,173,240.31,1,1.39,1,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,164,284.93,2,3.47,0,2,3.47,0,0,0,Pending
Grenada,Americas,159,141.3,0,0,0,1,0.89,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,159,2.19,105,1.44,65,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,124,43.43,1,0.35,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,86,9.59,18,2.01,0,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,63,1808.79,1,28.71,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,44,82.72,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,33,219.97,4,26.66,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,25,431.41,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
